knob,severity,cell_label,rep,pc_seed,phe_seed,failed,spearman,max_abs_err,mean_abs_err,anchor_slope,anchor_r2
phe_lapse_rate,0.05,phe_lapse=0.05,9,70018,70019,False,1.0,0.03429343372628829,0.0048642351962850956,-1.0286676553752805,0.9902954166898748
phe_lapse_rate,0.05,phe_lapse=0.05,10,70020,70021,False,1.0,0.034326395083248085,0.0048864705202765965,-0.9816239953539784,0.9940231873825632
phe_lapse_rate,0.05,phe_lapse=0.05,11,70022,70023,False,1.0,0.01271056784576019,0.0038917773030725674,-0.9988768813567236,0.9984456303846662
phe_lapse_rate,0.05,phe_lapse=0.05,12,70024,70025,False,1.0,0.01909350286633349,0.0042959322035402495,-1.0098173925828573,0.9960634547783075
phe_lapse_rate,0.05,phe_lapse=0.05,13,70026,70027,False,1.0,0.01368572694736847,0.0034673000007630255,-0.9991274101144862,0.9978623513687264
phe_lapse_rate,0.05,phe_lapse=0.05,14,70028,70029,False,1.0,0.015153047184396029,0.0042610062017098965,-0.9904138037299416,0.9984065612377656
phe_lapse_rate,0.15,phe_lapse=0.15,0,80000,80001,False,1.0,0.03794373205001811,0.010832463179551808,-0.9660029185393134,0.9951322441673207
phe_lapse_rate,0.15,phe_lapse=0.15,1,80002,80003,False,1.0,0.02903090035186562,0.007022169775971618,-0.9517097415966244,0.9940272920775578
phe_lapse_rate,0.15,phe_lapse=0.15,2,80004,80005,False,1.0,0.014738190683729613,0.005473240066880217,-1.0529589400889747,0.998435624063038
phe_lapse_rate,0.15,phe_lapse=0.15,3,80006,80007,False,1.0,0.02210535736791397,0.005609477039356632,-1.0009228058457496,0.9915333252407786
phe_lapse_rate,0.15,phe_lapse=0.15,4,80008,80009,False,1.0,0.024490701059475317,0.00646097967901626,-1.0488764926519907,0.9967539270268819
phe_lapse_rate,0.15,phe_lapse=0.15,5,80010,80011,False,1.0,0.019685454053684937,0.006110538293589412,-1.044789892007665,0.977101614650218
phe_lapse_rate,0.15,phe_lapse=0.15,6,80012,80013,False,1.0,0.03260466680137042,0.010436268251684628,-1.0745232861629115,0.9961931953850847
phe_lapse_rate,0.15,phe_lapse=0.15,7,80014,80015,False,1.0,0.012608731087971004,0.006022299159752688,-0.9437451269861932,0.995246373036825
phe_lapse_rate,0.15,phe_lapse=0.15,8,80016,80017,False,1.0,0.024329683200757346,0.004409543305822307,-0.9684660527663791,0.9955876841222747
phe_lapse_rate,0.15,phe_lapse=0.15,9,80018,80019,False,1.0,0.012394138688484657,0.004406072436872959,-1.004923404470449,0.9930067531231364
phe_lapse_rate,0.15,phe_lapse=0.15,10,80020,80021,False,1.0,0.04887409121981978,0.009056717151204808,-0.974201872594546,0.9920313475958844
phe_lapse_rate,0.15,phe_lapse=0.15,11,80022,80023,False,1.0,0.016681078514983128,0.005270972114338822,-0.9848141998378998,0.9925919854270527
phe_lapse_rate,0.15,phe_lapse=0.15,12,80024,80025,False,1.0,0.013127890871687975,0.004599628433164961,-1.0157714468390386,0.9950138563188414
phe_lapse_rate,0.15,phe_lapse=0.15,13,80026,80027,False,1.0,0.010990493989137429,0.00348366222424,-0.9945528444596283,0.9959160914963988
phe_lapse_rate,0.15,phe_lapse=0.15,14,80028,80029,False,1.0,0.030609318518926232,0.008718119715021237,-0.9508130680268816,0.9958279358669726
pc_position_bias,0.1,pc_position_bias=0.1,0,90000,90001,False,1.0,0.019933989066191926,0.004735408016820701,-1.0175656290085289,0.9976263022198623
pc_position_bias,0.1,pc_position_bias=0.1,1,90002,90003,False,1.0,0.02116498140480283,0.004448506144033487,-0.9813857334732873,0.9953898075263743
pc_position_bias,0.1,pc_position_bias=0.1,2,90004,90005,False,1.0,0.015158230719547083,0.0039808894271087,-1.0236380356549175,0.9986695483692956
pc_position_bias,0.1,pc_position_bias=0.1,3,90006,90007,False,1.0,0.017219553280198197,0.005048418982027643,-0.9818416368372498,0.9995480775954887
pc_position_bias,0.1,pc_position_bias=0.1,4,90008,90009,False,1.0,0.012047829364480483,0.0046403707747910625,-1.0465588633133731,0.998528287768884
pc_position_bias,0.1,pc_position_bias=0.1,5,90010,90011,False,1.0,0.01403849421674222,0.004322183099326644,-0.9991772563032868,0.9941047141021837
pc_position_bias,0.1,pc_position_bias=0.1,6,90012,90013,False,1.0,0.02073132668608063,0.00465085955297354,-0.988890052969586,0.995862748134154
pc_position_bias,0.1,pc_position_bias=0.1,7,90014,90015,False,1.0,0.027607720531601987,0.006721928819980993,-0.9706315649705876,0.9977158401169449
pc_position_bias,0.1,pc_position_bias=0.1,8,90016,90017,False,1.0,0.013305256164703683,0.004800409599756148,-0.9682100599990044,0.9971244365313875
pc_position_bias,0.1,pc_position_bias=0.1,9,90018,90019,False,1.0,0.016253098361277085,0.0037839539231491596,-0.9928123031824803,0.9989411138524706
pc_position_bias,0.1,pc_position_bias=0.1,10,90020,90021,False,1.0,0.016643604326247063,0.0028616931201885997,-0.9773911440486693,0.9976326319285926
pc_position_bias,0.1,pc_position_bias=0.1,11,90022,90023,False,1.0,0.022843986760747725,0.004026442530400311,-0.9628132411767978,0.9939691856878342
pc_position_bias,0.1,pc_position_bias=0.1,12,90024,90025,False,1.0,0.013020860721131344,0.003623274151430647,-1.014386539826227,0.994378365467619
